Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
16th St & Chestnut St - Shelter 513 - Legacy,2660,16th St & Chestnut St - Shelter 513,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,16th St & Chestnut St - Shelter 513 - Legacy,01/01/2001,,,
16th St & Fitzwater St - Shelter 719 - Legacy,3033,16th St & Fitzwater St - Shelter 719,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,16th St & Fitzwater St - Shelter 719 - Legacy,01/01/2001,,,
16th St & Moyamensing Av - FS NE Legacy,10848,16th St & Moyamensing Av - FS NE,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,16th St & Moyamensing Av - FS NE Legacy,01/01/2001,,,
16th St & Spring Garden St - Shelter 73 - Legacy,13188,16th St & Spring Garden St - Shelter 73,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,16th St & Spring Garden St - Shelter 73 - Legacy,01/01/2001,,,
17th St & Girard Av - Shelter 112,32,17th St & Girard Av - Shelter 112,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,17th St & Girard Av - Shelter 112,01/01/2001,,,
17th St & Market St - Shelter 407 - Legacy,34,17th St & Market St - Shelter 407,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,17th St & Market St - Shelter 407 - Legacy,01/01/2001,,,
19th St & JFK Blvd - Shelter 844 - Legacy,31348,19th St & JFK Blvd - Shelter 844,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,19th St & JFK Blvd - Shelter 844 - Legacy,01/01/2001,,,
19th St & Vine St - Shelter 63 - Legacy,2784,19th St & Vine St - Shelter 63,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,19th St & Vine St - Shelter 63 - Legacy,01/01/2001,,,
20th St & Chestnut St - Shelter 21 - Legacy,21316,20th St & Chestnut St - Shelter 21,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,20th St & Chestnut St - Shelter 21 - Legacy,01/01/2001,,,
22nd St & Chestnut St - Shelter 76 - Legacy,25155,22nd St & Chestnut St - Shelter 76,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,22nd St & Chestnut St - Shelter 76 - Legacy,01/01/2001,,,
22nd St & South St - Shelter 429 - Legacy,25069,22nd St & South St - Shelter 429,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,22nd St & South St - Shelter 429 - Legacy,01/01/2001,,,
22nd St & Winter St - Shelter 269 - Legacy,2850,22nd St & Winter St - Shelter 269,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,22nd St & Winter St - Shelter 269 - Legacy,01/01/2001,,,
33rd St & Dauphin St - Shelter 180 - Legacy,16549,33rd St & Dauphin St - Shelter 180,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,33rd St & Dauphin St - Shelter 180 - Legacy,01/01/2001,,,
33rd St & Diamond St - Shelter 181,16551,33rd St & Diamond St - Shelter 181,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,33rd St & Diamond St - Shelter 181,01/01/2001,,,
33rd St & Spruce St - Shelter 37 - Legacy,21441,33rd St & Spruce St - Shelter 37,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,33rd St & Spruce St - Shelter 37 - Legacy,01/01/2001,,,
33rd St & Walnut St - Shelter 285 - Legacy,21443,33rd St & Walnut St - Shelter 285,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,33rd St & Walnut St - Shelter 285 - Legacy,01/01/2001,,,
34th St & Spruce St - Shelter 280 - Legacy,21450,34th St & Spruce St - Shelter 280,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,34th St & Spruce St - Shelter 280 - Legacy,01/01/2001,,,
38th Parellel Pl & Dock St - FS - Shelter 95,22137,38th Parellel Pl & Dock St - FS - Shelter 95,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,38th Parellel Pl & Dock St - FS - Shelter 95,01/01/2001,,,
4th St & Arch St - Shelter 253 - Legacy,18093,4th St & Arch St - Shelter 253,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,4th St & Arch St - Shelter 253 - Legacy,01/01/2001,,,
4th St & Market St - Shelter 113,850,4th St & Market St - Shelter 113,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,4th St & Market St - Shelter 113,01/01/2001,,,
52nd St & Chestnut St - Shelter 2012 - Legacy,3574,52nd St & Chestnut St - Shelter 2012,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,52nd St & Chestnut St - Shelter 2012 - Legacy,01/01/2001,,,
52nd St & Chestnut St - Shelter 2013 - Legacy,21701,52nd St & Chestnut St - Shelter 2013,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,52nd St & Chestnut St - Shelter 2013 - Legacy,01/01/2001,,,
52nd St & Market St - Shelter 2011 - Legacy,769,52nd St & Market St - Shelter 2011,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,52nd St & Market St - Shelter 2011 - Legacy,01/01/2001,,,
52nd St & Walnut St - Shelter 2014 - Legacy,21702,52nd St & Walnut St - Shelter 2014,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,52nd St & Walnut St - Shelter 2014 - Legacy,01/01/2001,,,
