Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
COP-Arch & 17th-PBS1 - Reinstall,4463,COP-Arch & 17th-PBS1,01/01/1900,IxNSight Single Bus Shelter,5,Reinstall,Philly Digital Bus Shelter - OpEx_20,Live,Completed,COP-Arch & 17th-PBS1 - Reinstall,01/01/1900,,,
Chelten Av & Chew Av SW,497,Chelten Av & Chew Av SW,08/23/2021,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Chelten Av & Chew Av SW,,,,no as built
Academy Rd & Grant Av FS SW,415,Academy Rd & Grant Av - FS - Shelter 101,08/16/2021,Static Bus Shelter,6,New Design & Install,Philly Bus Shelter - Static - FY6,Pending Placement Approval,Pending Placement Approval,Academy Rd & Grant Av FS SW,,,,
Bustleton Av & Hendrix St,23239,Bustleton Av & Hendrix St - Shelter 228,08/16/2021,Static Bus Shelter,10,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Bustleton Av & Hendrix St,,Small,Solar,
Cottman Av & Roosevelt Blvd - FS - Shelter 225,17681,Cottman Av & Roosevelt Blvd - FS - Shelter 225,08/09/2021,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,Cottman Av & Roosevelt Blvd - FS - Shelter 225,,,,
Ridge Av & Domino Ln - FS,907,Ridge Av & Domino Ln - FS - Shelter 195,08/09/2021,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Ridge Av & Domino Ln - FS,,Narrow,,
Germantown Av & Chelten Av,949,Germantown Av & Chelten Av - Shelter 307,08/02/2021,Static Bus Shelter,8,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Cx,Ready for Engineering,Germantown Av & Chelten Av,,Standard,Solar,
Germantown Av & Tioga St - Shelter 130,16884,Germantown Av & Tioga St - Shelter 130,07/26/2021,Static Bus Shelter,5,Conversion D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Germantown Av & Tioga St - Shelter 130,,Narrow,,
Ridge Av & Green Lane NW,12275,Ridge Av & Green Ln - Shelter 187,07/26/2021,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Ridge Av & Green Lane NW,,,,
22nd St & Indiana Av - Shelter 2021,3133,22nd St & Indiana Av - Shelter 2021,07/19/2021,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,22nd St & Indiana Av - Shelter 2021,,,,
22nd St & Lehigh Av - Shelter 2024,596,22nd St & Lehigh Av - Shelter 2024,07/19/2021,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,22nd St & Lehigh Av - Shelter 2024,,,,
Lehigh Av & Glenwood Av - FS,20525,Lehigh Av & Glenwood Av - FS - Shelter 783,07/19/2021,Static Bus Shelter,8,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lehigh Av & Glenwood Av - FS,,,,
19th St & Vine St,2784,19th St & Vine St - Shelter 63,07/12/2021,Static Bus Shelter,5,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,19th St & Vine St,,Narrow,,
Allegheny & Aramingo NE,4356,Allegheny Av & Aramingo Av - Shelter 507,07/12/2021,Static Bus Shelter,1,New Design & Install,Philly Bus Shelter - Static - FY5,Ready for PreCx,Ready for Engineering,Allegheny & Aramingo NE,,,,no as built
State Rd & Rhawn Corrections - MBNS,22700,State Rd & Rhawn Corrections - MBNS,07/12/2021,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,State Rd & Rhawn Corrections - MBNS,,,,
84th St & Lindbergh Blvd,19555,84th St & Lindbergh Blvd - Shelter 841,07/05/2021,Static Bus Shelter,2,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,84th St & Lindbergh Blvd,,,,
Belmont Ave & Monument Rd NW,22208,Belmont Av & Monument Rd,07/05/2021,Static Bus Shelter,4,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Belmont Ave & Monument Rd NW,,,,no as built
Germantown Av & Haines St NW,15652,Germantown Av &  Haines St - Shelter 487,07/05/2021,Static Bus Shelter,8,New Design & Install,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Germantown Av & Haines St NW,,,,
Oregon Av & 20th St - FS,96,Oregon Av & 20th St - FS - Shelter 43,07/05/2021,Static Bus Shelter,2,Refresh D&I,Philly Bus Shelter - Static - FY6,PreCx,Ready for Engineering,Oregon Av & 20th St - FS,,Standard,Solar,
Schuylkill Av & JFK Blvd NE,30576,Schuylkill Av & JFK Blvd NE,07/05/2021,Static Bus Shelter,3,Refresh D&I,Philly Bus Shelter - Static - FY6,PreCx,Ready for Engineering,Schuylkill Av & JFK Blvd NE,,Standard,Solar,
62nd St & Woodland Av SE,24436,62nd St & Woodland Av SE,06/28/2021,Static Bus Shelter,2,New Design & Install,Philly Bus Shelter - Static - FY5,PreCx,Ready for Engineering,62nd St & Woodland Av SE,,Standard,PECO MH,
Spruce St & 49th St - Shelter 142,22192,Spruce St & 49th St - Shelter 142,06/28/2021,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Not Yet Started,Spruce St & 49th St - Shelter 142,,,,
Belmont Av & Conshohocken Av,21574,Belmont Av & Conshohocken Av - Shelter 439,06/21/2021,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Belmont Av & Conshohocken Av,,,,
Hunting Park Av & L St - Shelter 192,17904,Hunting Park Av & L St - Shelter 192,06/21/2021,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,Hunting Park Av & L St - Shelter 192,,,,
York St & 26th St - Shelter 146,16388,York St & 26th St - Shelter 146,06/21/2021,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Not Yet Started,York St & 26th St - Shelter 146,,,,
58th St & Greenway Av - Shelter 718,24537,58th St & Greenway Av - Shelter 718,06/14/2021,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Not Yet Started,58th St & Greenway Av - Shelter 718,,,,
Cottman Av & Hanford St - FS - Shelter 226,6447,Cottman Av & Hanford St - FS - Shelter 226,06/14/2021,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Not Yet Started,Cottman Av & Hanford St - FS - Shelter 226,,,,
Cottman Av & Loretto Av,6461,Cottman Av & Loretto Av - Shelter 168,06/14/2021,Static Bus Shelter,9,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Engineering,Ready for Engineering,Cottman Av & Loretto Av,,Standard,,
Lehigh Av & 20th St - FS - Shelter 505,20527,Lehigh Av & 20th St - FS - Shelter 505,06/07/2021,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,Lehigh Av & 20th St - FS - Shelter 505,,,,
Lehigh Av & Lawrence St,9380,Lehigh Av & Lawrence St - Shelter 275,06/07/2021,Static Bus Shelter,7,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lehigh Av & Lawrence St,,,,
Conshohocken Av & W Country Club - Shelter 116,22307,Conshohocken Av & W Country Club - Shelter 116,05/31/2021,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,Conshohocken Av & W Country Club - Shelter 116,,,,
54th St & Berks St NW,21688,54th St & Berks St - Shelter 2009,05/24/2021,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Ready for Engineering,Ready for Engineering,54th St & Berks St NW,,,,
54th St & City Av - MBFS,30138,54th St & City Av - MBFS,05/24/2021,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Engineering,Ready for Engineering,54th St & City Av - MBFS,,Small,City Lighting,
54th St & Upland Way,21689,54th St & Upland Way - Shelter 564,05/17/2021,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,54th St & Upland Way,,Small,Solar,
52nd St & Market St,769,52nd St & Market St - Shelter 2011,05/10/2021,Static Bus Shelter,3,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Cx,Ready for Engineering,52nd St & Market St,,Standard,PECO MH,
Bridge St & Torresdale SW,487,Bridge St & Torresdale SW,05/10/2021,Static Bus Shelter,7,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,Bridge St & Torresdale SW,,,,no as built
Spruce St & 38th St SW,22129,Spruce St & 38th St - Shelter 286,05/10/2021,Static Bus Shelter,3,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for PreCx,Ready for Engineering,Spruce St & 38th St SW,,,,
University Av & Baltimore Av - MBFS,21435,University Av & Baltimore Av - MBFS - Shelter 46,05/10/2021,Static Bus Shelter,3,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,University Av & Baltimore Av - MBFS,,,,
Allegheny Av & Aramingo Av SE,4356,Allegheny Av & Aramingo Av - Shelter 507,05/03/2021,Static Bus Shelter,1,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Allegheny Av & Aramingo Av SE,,,,
Lindbergh Blvd & 70th St - Shelter 217,24944,Lindbergh Blvd & 70th St - Shelter 217,05/03/2021,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Not Yet Started,Completed,Lindbergh Blvd & 70th St - Shelter 217,,,,
Henry Av & Indian Queen Ln - MBFS,19703,Henry Av & Indian Queen Ln - MBFS,04/26/2021,Static Bus Shelter,4,New Design & Install,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Henry Av & Indian Queen Ln - MBFS,,,,
Parkside Av & 51st St SW,21724,Parkside Av & 51st St SW,04/26/2021,Static Bus Shelter,4,New Design & Install,Philly Bus Shelter - Static - FY5,Ready for PreCx,Ready for Engineering,Parkside Av & 51st St SW,,,,no as built
Parkside Av & Belmont Av SW,22002,Parkside Av & Belmont Av SW,04/26/2021,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Parkside Av & Belmont Av SW,,,,
Lehigh Av & Germantown Av,20519,Lehigh Av & Germantown Av - Shelter 229,04/19/2021,Static Bus Shelter,5,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Lehigh Av & Germantown Av,,,,
Passyunk Ave and 24th St NE,24926,Passyunk Ave and 24th St NE,04/19/2021,Static Bus Shelter,2,New Design & Install,Philly Bus Shelter - Static - FY6,Not Yet Started,Temporarily Suspended,Passyunk Ave and 24th St NE,,Standard,,
Walnut Ln & Johnson SE,20555,Walnut Ln & Johnson SE,04/19/2021,Static Bus Shelter,4,New Design & Install,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,Walnut Ln & Johnson SE,,,,
Erie Av & A St,18146,Erie Av & A St - Shelter 517,04/12/2021,Static Bus Shelter,7,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Cx,Ready for Engineering,Erie Av & A St,,Standard,Solar,
10th St & Olney Av NW,28699,10th St & Olney Av NW,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,10th St & Olney Av NW,,,,
11th St & Locust St - Shelter 96,16842,11th St & Locust St - Shelter 96,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,11th St & Locust St - Shelter 96,,Narrow,,
11th St & Lombard St - Shelter 166,16839,11th St & Lombard St - Shelter 166,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,11th St & Lombard St - Shelter 166,,Narrow,PECO Wood Pole,
16th St & Chestnut St - Shelter 513,2660,16th St & Chestnut St - Shelter 513,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,16th St & Chestnut St - Shelter 513,,Narrow,,
16th St & Fitzwater St - Shelter 719,3033,16th St & Fitzwater St - Shelter 719,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,16th St & Fitzwater St - Shelter 719,,Narrow,,
16th St & Moyamensing Av - FS NE,10848,16th St & Moyamensing Av - FS NE,,Static Bus Shelter,2,Refresh D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,16th St & Moyamensing Av - FS NE,,,,
16th St & Spring Garden St - Shelter 73,13188,16th St & Spring Garden St - Shelter 73,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,16th St & Spring Garden St - Shelter 73,,Narrow,,
17th St & Market St - Shelter 407,34,17th St & Market St - Shelter 407,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,17th St & Market St - Shelter 407,,Narrow,,
19th St & JFK Blvd - Shelter 844,31348,19th St & JFK Blvd - Shelter 844,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,19th St & JFK Blvd - Shelter 844,,Narrow,,
20th St & Chestnut St - Shelter 21,21316,20th St & Chestnut St - Shelter 21,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,20th St & Chestnut St - Shelter 21,,Narrow,,
20th St & Hartranft St SE,21285,20th St & Hartranft St SE,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,20th St & Hartranft St SE,,,,
22nd St & Allegheny Ave NW,3105,22nd St & Allegheny Ave NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,22nd St & Allegheny Ave NW,,,,
22nd St & Chestnut St - Shelter 76,25155,22nd St & Chestnut St - Shelter 76,,Static Bus Shelter,2,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,22nd St & Chestnut St - Shelter 76,,Narrow,,
22nd St & Fox St NW,3128,22nd St & Fox St NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,22nd St & Fox St NW,,,,
22nd St & Indiana Av SE,3133,22nd St & Indiana Av - Shelter 2021,,Static Bus Shelter,8,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,22nd St & Indiana Av SE,,,,
22nd St & Lehigh Av NW,589,22nd St & Lehigh Av NW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,22nd St & Lehigh Av NW,,,,
22nd St & Lehigh Av SE,596,22nd St & Lehigh Av - Shelter 2024,,Static Bus Shelter,5,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,22nd St & Lehigh Av SE,,,,
22nd St & Winter St - Shelter 269,2850,22nd St & Winter St - Shelter 269,,Static Bus Shelter,5,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,22nd St & Winter St - Shelter 269,,Narrow,,
29th St & Lehigh Av NW,2893,29th St & Lehigh Av NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,29th St & Lehigh Av NW,,,,
29th St & Lehigh Av NW - FY5,2893,29th St & Lehigh Av NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,29th St & Lehigh Av NW - FY5,,,,
2nd St & Allegheny Av NW,18060,2nd St & Allegheny Av NW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,2nd St & Allegheny Av NW,,,,
33rd St & Spruce St - Shelter 37,21441,33rd St & Spruce St - Shelter 37,,Static Bus Shelter,3,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,33rd St & Spruce St - Shelter 37,,,,
33rd St & Spruce St SW,21441,33rd St & Spruce St - Shelter 37,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,33rd St & Spruce St SW,,,,
34th St & Market St - FS SW,21486,34th St & Market St - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,34th St & Market St - FS SW,,,,no as built
40th St & Poplar St NW,22221,40th St & Poplar St NW,,Static Bus Shelter,3,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,40th St & Poplar St NW,,,,no as built
49th St & Chester Av - FS SW,24636,49th St & Chester Av - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,49th St & Chester Av - FS SW,,,,
4th St & Arch St - Shelter 253,18093,4th St & Arch St - Shelter 253,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,4th St & Arch St - Shelter 253,,Narrow,,
52nd & Girard SW,767,52nd St & Girard Av - FS,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd & Girard SW,,,,
52nd St & Baltimore Av NW,771,52nd St & Baltimore Av NW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Baltimore Av NW,,,,
52nd St & Cedar Av - FS NE,21738,52nd St & Cedar Av - FS NE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,52nd St & Cedar Av - FS NE,,,,
52nd St & Chestnut St - Shelter 2012,3574,52nd St & Chestnut St - Shelter 2012,,Static Bus Shelter,3,Conversion D&I,Philly Static Bus Shelter - Future Sites,PreCx,Ready for Engineering,52nd St & Chestnut St - Shelter 2012,,Standard,Solar,
52nd St & Lancaster Av - FS SW,21692,52nd St & Lancaster Av - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Lancaster Av - FS SW,,,,
52nd St & Lancaster Av - FS SW - FY5,21692,52nd St & Lancaster Av - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Lancaster Av - FS SW - FY5,,,,
52nd St & Spruce St - FS NE,21741,52nd St & Spruce St - FS NE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Spruce St - FS NE,,,,
52nd St & Spruce St - FS SW,21704,52nd St & Spruce St - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Spruce St - FS SW,,,,
52nd St & Walnut St - Shelter 2014,21702,52nd St & Walnut St - Shelter 2014,,Static Bus Shelter,3,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,52nd St & Walnut St - Shelter 2014,,,,
52nd St & Westminster Av - FS SW,21697,52nd St & Westminster Av - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Not Yet Started,Not Yet Started,52nd St & Westminster Av - FS SW,,,,
54th St & Berks St,21688,54th St & Berks St - Shelter 2009,,Static Bus Shelter,4,Refresh D&I,Philly Bus Shelter - Static - FY6,Ready for Engineering,Ready for Engineering,54th St & Berks St,,,,
54th St & Whitby Av SE,21735,54th St & Whitby Av SE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Not Yet Started,Not Yet Started,54th St & Whitby Av SE,,,,
54th St & Woodland Av - FS NE,21727,54th St & Woodland Av - FS NE,,Static Bus Shelter,3,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,54th St & Woodland Av - FS NE,,,,no as built
56th St & Girard Av NW,24512,56th St & Girard Av NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,56th St & Girard Av NW,,,,
56th St & Girard Av NW - FY5,24512,56th St & Girard Av NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,56th St & Girard Av NW - FY5,,,,
56th St & Lansdowne Av - Shelter 667,24508,56th St & Lansdowne Av - Shelter 667,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,56th St & Lansdowne Av - Shelter 667,,,,
56th St & Lansdowne Av NW,24508,56th St & Lansdowne Av - Shelter 667,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,56th St & Lansdowne Av NW,,,,
56th St & Market St - FS SW,197,56th St & Market St - FS SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,56th St & Market St - FS SW,,High Rider,,
58th St & Greenway Av NW,24537,58th St & Greenway Av - Shelter 718,,Static Bus Shelter,2,Refresh D&I,Philly Bus Shelter - Static - FY6,Not Yet Started,Not Yet Started,58th St & Greenway Av NW,,,,
5th St & 66th Av SE,22726,5th St & 66th Av SE,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,5th St & 66th Av SE,,,,
5th St & Allegheny Av SE,26058,5th St & Allegheny Av SE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,5th St & Allegheny Av SE,,Narrow,PECO Wood Pole,
5th St & Annsbury St NW,16251,5th St & Annsbury St NW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,5th St & Annsbury St NW,,,,
5th St & Champlost St NW,16238,5th St & Champlost St NW,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,5th St & Champlost St NW,,,,no as built
5th St & Olney Av SE,18570,5th St & Olney Av SE,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,5th St & Olney Av SE,,,,
5th St & Wyoming Av NW,723,5th St & Wyoming Av NW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,5th St & Wyoming Av NW,,,,
60th St & Catherine St SE,21852,60th St & Catherine St SE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,60th St & Catherine St SE,,,,
60th St & Catherine St SE - FY5,21852,60th St & Catherine St SE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,60th St & Catherine St SE - FY5,,,,
60th St & Haverford Av NW,21811,60th St & Haverford Av NW,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Future Sites,Ready for Engineering,Ready for Engineering,60th St & Haverford Av NW,,,,
60th St & Market St - FS NE,716,60th St & Market St - FS NE,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,60th St & Market St - FS NE,,Standard,PECO MH,
60th St & Spruce St SE,715,60th St & Spruce St SE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,60th St & Spruce St SE,,,,
60th St & Spruce St SE - FY5,715,60th St & Spruce St SE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,60th St & Spruce St SE - FY5,,,,
62nd St & Elmwood Av NW,24541,62nd St & Elmwood Av NW,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,62nd St & Elmwood Av NW,,,,
62nd St & Woodland Av - FS SW,24538,62nd St & Woodland Av - FS SW,,Static Bus Shelter,2,New Design & Install,Philly Bus Shelter - Static - FY5,PreCx,Ready for Engineering,62nd St & Woodland Av - FS SW,,Standard,PECO MH,
66th Av & 5th St - FS NW,24699,66th Av & 5th St - FS NW,,Static Bus Shelter,9,New Design & Install,Philly Bus Shelter - Static - FY5,Pending Placement Approval,Pending Placement Approval,66th Av & 5th St - FS NW,,,,no as built
66th Av & Broad St - FS SE,27750,66th Av & Broad St - FS SE,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,66th Av & Broad St - FS SE,,,,
7th St & Cecil B Moore Av - NE FS,18529,7th St & Cecil B Moore Av - NE FS,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,7th St & Cecil B Moore Av - NE FS,,Small,PECO Wood Pole,
7th St & Chestnut St - Shelter 556,18516,7th St & Chestnut St - Shelter 556,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,7th St & Chestnut St - Shelter 556,,Narrow,,
7th St & Market St SE,735,7th St & Market St SE,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,7th St & Market St SE,,,,
8th St & Market St - Shelter 571,728,8th St & Market St - Shelter 571,,Static Bus Shelter,1,Conversion D&I,Philly Static Bus Shelter - Alternative FY5,Ready for Engineering,Temporarily Suspended,8th St & Market St - Shelter 571,,Narrow,City Lighting,
8th St & Poplar St NW,16282,8th St & Poplar St NW,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,8th St & Poplar St NW,,,,
Academy Rd & Morrell Av FS SW,23394,Academy Rd & Morrell Av FS SW,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,Academy Rd & Morrell Av FS SW,,,,
Allegheny Av & 22nd St SW,20602,Allegheny Av & 22nd St SW,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelter - Alternative FY5,Pending Placement Approval,Pending Placement Approval,Allegheny Av & 22nd St SW,,,,
Allegheny Av & Broad St NE,20600,Allegheny Av & Broad St NE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Allegheny Av & Broad St NE,,High Rider,,
Allegheny Av & Front St NE,3740,Allegheny Av & Front St NE,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Allegheny Av & Front St NE,,,,
Allegheny Av & Front St SW,15027,Allegheny Av & Front St SW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Not Yet Started,Allegheny Av & Front St SW,,,,
Allegheny Av & Kensington Av SW,20605,Allegheny Av & Kensington Av SW,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelter - Future Sites,Not Yet Started,Temporarily Suspended,Allegheny Av & Kensington Av SW,,,,
