"","trip_id","route_id","direction_id","pattern_id","source","run","trip_begin","trip_end","distance_traveled","n_stops","avg_stop_spacing_ft","dwell_sum","dwell_est","dwell_hybrid","ons_total","offs_total","max_entry_load","avg_speed","avg_load","max_load","ons_offs","ridership"
"146","SEPTA30311510","18","Eastbound","E01","uta",1072s (~17.87 minutes),"15:39:45","15:57:37",2.46941176470588,23,566.89104859335,0s,251.788235294117s (~4.2 minutes),251.788235294117s (~4.2 minutes),30.4705882352941,35.2941176470588,29.5882352941176,8.69314562217786,30.2404092071611,34,65.7647058823529,60.0588235294117
"147","SEPTA30321342","18","Eastbound","E01","uta",969s (~16.15 minutes),"14:12:08","14:28:17",2.46166666666667,23,565.113043478261,0s,285.495833333333s (~4.76 minutes),285.495833333333s (~4.76 minutes),38.6666666666667,33.25,27.625,10.0524541527221,32.161231884058,34.7916666666667,71.9166666666666,66.2916666666667
"148","SEPTA30321457","18","Westbound","W1","uta",1022s (~17.03 minutes),"15:26:19","15:43:21",2.32458333333333,21,584.466666666667,0s,270.1s (~4.5 minutes),270.1s (~4.5 minutes),37.625,27.875,26.7916666666667,8.71887340331352,31.8035714285714,38.2916666666667,65.5,64.4166666666667
"149","SEPTA30321615","18","Eastbound","E01","uta",998s (~16.63 minutes),"16:47:23","17:04:01",2.46409090909091,23,565.669565217391,0s,313.159090909091s (~5.22 minutes),313.159090909091s (~5.22 minutes),45.3181818181818,32.5454545454545,22.4090909090909,9.71103961885717,32.203557312253,43.2727272727273,77.8636363636363,67.7272727272727
"150","SEPTA30321739","18","Westbound","W1","uta",901s (~15.02 minutes),"18:06:53","18:21:54",2.31717391304348,21,582.603726708074,0s,227.167210144928s (~3.79 minutes),227.167210144928s (~3.79 minutes),26.0652173913044,20.7445652173913,17.2916666666667,9.77587174756032,21.7778640441684,26.2173913043478,46.8097826086957,43.3568840579711
"151","SEPTA30321904","18","Eastbound","E01","uta",918s (~15.3 minutes),"19:35:33","19:50:51",2.44722222222222,23,561.797101449276,0s,265.488888888889s (~4.42 minutes),265.488888888889s (~4.42 minutes),34.4444444444445,23.7222222222222,18.8333333333333,10.2516585183825,26.536231884058,35.1666666666667,58.1666666666667,53.2777777777778
"152","SEPTA30322025","18","Westbound","W1","uta",736s (~12.27 minutes),"20:46:34","20:58:50",2.32,21,583.314285714286,0s,198.369565217391s (~3.31 minutes),198.369565217391s (~3.31 minutes),18.9130434782609,13.3478260869565,14.7826086956522,11.4388696203111,18.0786749482402,21.8695652173913,32.2608695652174,33.6956521739131
"153","SEPTA30322146","18","Eastbound","E01","uta",777s (~12.95 minutes),"22:12:43","22:25:40",2.41761904761905,23,555.001242236025,0s,197.957142857143s (~3.3 minutes),197.957142857143s (~3.3 minutes),18.3333333333333,12.952380952381,10.7619047619048,11.8947896894792,14.3291925465838,18.2380952380952,31.2857142857143,29.0952380952381
"154","SEPTA30341418","18","Eastbound","E01","uta",996s (~16.6 minutes),"14:46:10","15:02:46",2.45461538461538,23,563.49431438127,0s,249.196153846154s (~4.15 minutes),249.196153846154s (~4.15 minutes),28.8076923076923,23.4615384615385,18.3846153846154,9.6199164087543,22.928093645485,27.9230769230769,52.2692307692307,47.1923076923077
"155","SEPTA30341540","18","Westbound","W1","uta",1008s (~16.8 minutes),"16:05:46","16:22:34",2.3276,21,585.225142857143,0s,216.128s (~3.6 minutes),216.128s (~3.6 minutes),23.28,15.8,13.56,8.88085894053103,18.5790476190476,23.28,39.08,36.84
"156","SEPTA30341801","18","Eastbound","E01","uta",912s (~15.2 minutes),"18:31:37","18:46:49",2.45833333333333,23,564.347826086957,0s,271.327777777778s (~4.52 minutes),271.327777777778s (~4.52 minutes),36.8333333333333,29.5,27.7222222222222,10.7137407161537,33.2536231884058,42,66.3333333333333,64.5555555555555
"157","SEPTA30341925","18","Westbound","W1","uta",747s (~12.45 minutes),"19:45:09","19:57:36",2.32692307692308,21,585.054945054945,0s,207.173076923077s (~3.45 minutes),207.173076923077s (~3.45 minutes),21.0769230769231,16.0384615384615,15.1153846153846,11.4689762781605,18.7161172161172,22.6538461538462,37.1153846153846,36.1923076923077
"158","SEPTA30342041","18","Eastbound","E01","uta",845s (~14.08 minutes),"21:06:17","21:20:22",2.43761904761905,23,559.592546583851,0s,234.471428571429s (~3.91 minutes),234.471428571429s (~3.91 minutes),25.9047619047619,23.1428571428571,15.047619047619,11.4276788998223,18.5714285714286,23.7142857142857,49.047619047619,40.9523809523809
"159","SEPTA30351426","18","Eastbound","E01","uta",958s (~15.97 minutes),"14:55:55","15:11:53",2.454375,23,563.439130434783,0s,284.228125s (~4.74 minutes),284.228125s (~4.74 minutes),37.875,28.71875,19,10.1238180647987,27.4375,35.5,66.59375,56.875
"160","SEPTA30351546","18","Westbound","W1","uta",963s (~16.05 minutes),"16:12:44","16:28:47",2.41346774193548,21,606.814746543779,0s,235.815524193548s (~3.93 minutes),235.815524193548s (~3.93 minutes),28.5534274193548,20.8175403225806,17.8387096774194,9.46906400169945,23.2284946236559,28.71875,49.3709677419355,46.3921370967742
"161","SEPTA30351710","18","Eastbound","E01","uta",973s (~16.22 minutes),"17:38:50","17:55:03",2.45533333333333,23,563.659130434783,0s,265.263333333333s (~4.42 minutes),265.263333333333s (~4.42 minutes),32.7333333333334,25.1,16.1333333333333,9.86578453644419,23.0492753623188,31.2,57.8333333333334,48.8666666666667
"162","SEPTA30351836","18","Westbound","W1","uta",776s (~12.93 minutes),"18:58:02","19:10:58",2.3215625,21,583.707142857143,0s,192.996875s (~3.22 minutes),192.996875s (~3.22 minutes),17.125,11.1875,11.0625,11.2361259855858,14.9821428571429,19.59375,28.3125,28.1875
"163","SEPTA30351953","18","Eastbound","E01","uta",808s (~13.47 minutes),"20:19:24","20:32:52",2.43230769230769,23,558.373244147157,0s,241.373076923077s (~4.02 minutes),241.373076923077s (~4.02 minutes),25.9615384615385,21.1923076923077,17.6538461538462,12.019178698259,22.3461538461538,29.2307692307692,47.1538461538461,43.6153846153847
"164","SEPTA30352110","18","Westbound","W1","uta",680s (~11.33 minutes),"21:29:47","21:41:07",2.32758620689655,21,585.221674876847,0s,168.655172413793s (~2.81 minutes),168.655172413793s (~2.81 minutes),10.8620689655172,10.5862068965517,10.6896551724138,12.6319152503805,11.4269293924466,12.8965517241379,21.448275862069,21.551724137931
"165","SEPTA30352221","18","Eastbound","E01","uta",689s (~11.48 minutes),"22:45:20","22:56:49",2.38266666666667,23,546.977391304348,0s,183.8s (~3.06 minutes),183.8s (~3.06 minutes),14.4666666666667,9.06666666666667,8.53333333333333,13.2104540127081,12.2115942028986,16.8666666666667,23.5333333333334,23
"166","SEPTA30361433","18","Eastbound","E01","uta",1028s (~17.13 minutes),"14:59:14","15:16:22",2.43772727272727,23,559.617391304348,0s,236.922727272727s (~3.95 minutes),236.922727272727s (~3.95 minutes),26.5,17.8636363636364,12.0454545454545,9.5669923843777,19.0691699604743,25.1363636363636,44.3636363636364,38.5454545454545
"167","SEPTA30361552","18","Westbound","W1","uta",936s (~15.6 minutes),"16:16:17","16:31:53",2.3252380952381,21,584.631292517007,0s,213.042857142857s (~3.55 minutes),213.042857142857s (~3.55 minutes),22.2857142857143,17.2380952380952,13.4285714285714,9.70675694308034,17.6303854875283,22.1904761904762,39.5238095238095,35.7142857142857
"168","SEPTA30371445","18","Eastbound","E01","uta",1209s (~20.15 minutes),"15:11:51","15:32:00",2.44652173913044,23,561.636294896031,0s,307.147826086956s (~5.12 minutes),307.147826086956s (~5.12 minutes),45.7826086956522,24.9565217391304,17.1739130434783,8.40747162731522,33.2155009451796,40.9565217391304,70.7391304347826,62.9565217391305
"169","SEPTA30371608","18","Westbound","W1","uta",1167s (~19.45 minutes),"16:33:12","16:52:39",2.34130434782609,21,588.670807453417,0s,259.213043478261s (~4.32 minutes),259.213043478261s (~4.32 minutes),34.5217391304348,22.304347826087,16.1739130434783,8.75982054217532,24.0041407867495,32.6521739130435,56.8260869565218,50.6956521739131
"170","SEPTA30371732","18","Eastbound","E01","uta",1051s (~17.52 minutes),"18:03:46","18:21:17",2.4795652173913,23,569.221928166351,0s,313.126086956522s (~5.22 minutes),313.126086956522s (~5.22 minutes),45.4782608695652,32.9565217391304,23.9130434782609,9.19176392191307,33.5841209829868,44.0434782608696,78.4347826086956,69.3913043478261
"171","SEPTA30371857","18","Westbound","W1","uta",813s (~13.55 minutes),"19:19:36","19:33:09",2.32291666666667,21,584.047619047619,0s,220.916666666667s (~3.68 minutes),220.916666666667s (~3.68 minutes),24.6666666666667,15.9583333333333,14.9166666666667,10.8963817448345,20.9404761904762,26.3333333333333,40.625,39.5833333333334
"172","SEPTA30372009","18","Eastbound","E01","uta",863s (~14.38 minutes),"20:37:30","20:51:53",2.4525,23,563.008695652174,0s,246.125s (~4.1 minutes),246.125s (~4.1 minutes),27.45,22.8,16.9,11.0596712271271,21.8673913043478,27.75,50.25,44.35
"173","SEPTA30372128","18","Westbound","W1","uta",772s (~12.87 minutes),"21:48:34","22:01:26",2.35130434782609,21,591.185093167702,0s,206.269565217391s (~3.44 minutes),206.269565217391s (~3.44 minutes),20.3043478260869,14.3913043478261,14.2608695652174,11.6494953299025,18.8902691511387,23.304347826087,34.695652173913,34.5652173913043
"174","SEPTA30372241","18","Eastbound","E01","uta",781s (~13.02 minutes),"23:05:24","23:18:25",2.41095238095238,23,553.470807453416,0s,221.795238095238s (~3.7 minutes),221.795238095238s (~3.7 minutes),21.5714285714286,16.4761904761905,8.61904761904762,11.9898859167297,14.6211180124223,21.2380952380952,38.0476190476191,30.1904761904762
"175","SEPTA30372435","18","Eastbound","E01","uta",621s (~10.35 minutes),"00:58:23","01:08:44",2.56359005700182,23,588.51110873781,0s,160.860656892127s (~2.68 minutes),160.860656892127s (~2.68 minutes),10.320270905565,4.53479853479854,2.75,16.4538746768056,6.1737479911393,9.88235294117647,14.8550694403636,13.070270905565
"176","SEPTA30372535","18","Westbound","W2","uta",592s (~9.87 minutes),"01:51:04","02:00:56",2.57400865800866,21,647.179319727891,0s,138.81512987013s (~2.31 minutes),138.81512987013s (~2.31 minutes),5.88787878787878,6.24935064935064,6.1,16.1736017176507,6.27937538651824,7.47619047619048,12.1372294372294,11.9878787878788
"177","SEPTA30381451","18","Eastbound","E01","uta",1140s (~19 minutes),"15:22:25","15:41:25",2.46,23,564.730434782609,0s,288.111538461539s (~4.8 minutes),288.111538461539s (~4.8 minutes),40.6923076923078,30.5,27.6923076923077,8.40554953834451,36.6153846153846,43.2692307692308,71.1923076923077,68.3846153846154
"178","SEPTA30381616","18","Westbound","W1","uta",984s (~16.4 minutes),"16:44:15","17:00:39",2.32464285714286,21,584.481632653061,0s,257.142857142857s (~4.29 minutes),257.142857142857s (~4.29 minutes),33.8571428571428,26.8571428571429,23.1071428571429,9.19096530967885,28.4659863945578,33.5714285714286,60.7142857142857,56.9642857142857
