stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA16865,11th St & Cecil B Moore Av,113,NA,0,113,113,0,39.977839,-75.152541,108.03140176816645,60.712414872708976,NA
SEPTA16876,Germantown Av & Somerset St,112,NA,0,112,112,0,39.994535,-75.147431,110.97874315227254,66.12743367743367,NA
SEPTA16881,Germantown Av & Hilton St,115,NA,0,115,115,0,40.001624,-75.148313,114.90674717439424,20.234360737301913,NA
SEPTA16894,Germantown Av & Windrim Av,120,NA,0,120,120,0,40.022719,-75.158881,104.28324869574868,72.02932622932623,NA
SEPTA16959,Olney Av & 2nd St,218,NA,0,218,218,0,40.035825,-75.125302,117.8933324421613,46.477582830279275,NA
SEPTA16964,Olney Av & 7th St,217,NA,0,217,217,0,40.036944,-75.134046,104.95541771227725,29.033273420680022,NA
SEPTA17085,Greene St & Walnut Ln - FS,114,NA,0,114,114,0,40.037243,-75.18168,96.05769092019094,47.63707542457542,NA
SEPTA17138,Broad St & Susquehanna Av,119,NA,0,119,119,0,39.986371,-75.156313,157.3842105263158,139.85764484053956,NA
SEPTA17165,Broad St & Ridge Av - FS,131,NA,0,131,131,0,39.966558,-75.160664,100.3304528074265,81.54808605137553,NA
SEPTA17170,Broad St & Race St,195,NA,0,195,195,0,39.956361,-75.162934,122.96531910174895,410.8364273347986,NA
SEPTA17174,Manheim St & Wayne Av,94,NA,0,94,94,0,40.026356,-75.169152,161.44897047397043,100.98424630924627,NA
SEPTA17188,Manheim St & Wissahickon Av,98,NA,0,98,98,0,40.020084,-75.174895,132.18633866133865,78.75953213453214,NA
SEPTA17200,Germantown Av & Walnut Ln,110,NA,0,110,110,0,40.040405,-75.178477,141.34222999222996,111.81467560217558,NA
SEPTA17268,Broad St & Ridge Av,129,NA,0,129,129,0,39.966254,-75.160417,119.72159938015203,83.87430471575209,NA
SEPTA17282,Broad St & Susquehanna Av,128,NA,0,128,128,0,39.986147,-75.156148,141.87722314235472,165.9266761747025,NA
SEPTA17283,Broad St & Dauphin St,135,NA,0,135,135,0,39.987762,-75.155799,92.66227668530301,66.74655162089371,NA
SEPTA17419,Erie Av & Elder St - FS,148,NA,0,148,148,0,40.009053,-75.149844,170.53060535096137,20.95595921106757,NA
SEPTA17425,Erie Av & Rising Sun Av,155,NA,0,155,155,0,40.007873,-75.14108,121.11136737359647,68.93576277953213,NA
SEPTA17697,Cottman Av & Rising Sun Av - FS,131,NA,0,131,131,0,40.061798,-75.084246,158.26772554930452,482.3181524615735,NA
SEPTA17855,11th St & Callowhill St,318,NA,0,318,318,0,39.958847,-75.156689,79.3671449465567,200.73842056636175,NA
SEPTA17948,Torresdale Av & Longshore Av,101,NA,0,101,101,0,40.026041,-75.043245,134.76697215323375,32.79392407987609,NA
SEPTA17953,Torresdale Av & Unruh Av,105,NA,0,105,105,0,40.024328,-75.046493,108.72029981542362,30.46994911263487,NA
SEPTA17973,Torresdale Av & Deveraux Av,108,NA,0,108,108,0,40.019607,-75.055667,96.23273137681032,37.168571366713785,NA
SEPTA17975,Torresdale Av & Comly St,115,NA,0,115,115,0,40.017735,-75.059282,85.36397138293422,31.37783536552886,NA
SEPTA17979,Torresdale Av & Van Kirk St,110,NA,0,110,110,0,40.016412,-75.06183,106.25434059834214,33.97702843681946,NA
SEPTA17987,Torresdale Av & Orthodox St,114,NA,0,114,114,0,40.010473,-75.079258,89.82554415828409,49.21748733292851,NA
SEPTA18016,Erie Av & L St,104,NA,0,104,104,0,40.005655,-75.103176,129.04383652123587,87.24980588297151,NA
SEPTA18036,Erie Av & Whitaker Av,115,NA,0,115,115,0,40.007277,-75.123272,91.92593618112193,114.3180196480506,NA
SEPTA18163,Erie Av & 19th St,221,NA,0,221,221,0,40.010216,-75.159271,121.36158890988612,79.08588813147638,NA
SEPTA18164,Erie Av & 18th St,223,NA,0,223,223,0,40.010016,-75.157712,98.63476881735394,59.30499154268504,NA
SEPTA18165,Erie Av & 17th St,220,NA,0,220,220,0,40.009816,-75.156129,124.99199422868152,89.80547149788634,NA
SEPTA18211,Erie Av & 16th St,310,NA,0,310,310,0,40.009687,-75.154321,77.30331120547841,61.4193741930584,NA
SEPTA18212,Erie Av & 17th St,246,NA,0,246,246,0,40.009905,-75.155868,82.01807130348152,100.93161442530639,NA
SEPTA18214,Erie Av & 19th St,300,NA,0,300,300,0,40.010314,-75.15901,123.57263841249907,207.76278939069186,NA
SEPTA18226,Manheim St & Wayne Av,122,NA,0,122,122,0,40.026097,-75.169164,121.09637119416531,167.93450520068166,NA
SEPTA18237,Greene St & Walnut Ln,111,NA,0,111,111,0,40.037386,-75.181668,166.24270810888456,85.79473769694357,NA
SEPTA18451,Market St & 16th St,604,NA,0,604,604,0,39.952738,-75.167045,408.8035212525637,1637.9132535587692,NA
